NSE/EXCELINFO,Excel Infoways Limited
NSE/QNIFTY,Quantum Index Fund -Exchange Traded Fund (ETF)
NSE/QUICKHEAL,Quick Heal Technologies Limited
NSE/RAJRAYON,Raj Rayon Industries Limited
NSE/RAIREKMOH,Raisaheb Reckhchand Mohota Spinning & Weaving Mills Limited
NSE/RAJSREESUG,Rajshree Sugars & Chemicals Limited
NSE/RAMCOIND,Ramco Industries Limited
NSE/RAMANEWS,Shree Rama Newsprint Limited
NSE/RAMKY,Ramky Infrastructure Limited
NSE/RAMCOSYS,Ramco Systems Limited
NSE/RAMCOCEM,The Ramco Cements Limited
NSE/RANEHOLDIN,Rane Holdings Limited
NSE/RBL,Rane Brake Lining Limited
NSE/RBLBANK,RBL Bank Limited
NSE/RCF,Rashtriya Chemicals and Fertilizers Limited
NSE/RANASUG,Rana Sugars Limited
NSE/RECLTD,Rural Electrification Corporation Limited
NSE/RCOM,Reliance Communications Limited
NSE/RELAXO,Relaxo Footwears Limited
NSE/RELBANK,R* Shares Banking ETF
NSE/REIAGROLTD,Rei Agro Limited
NSE/RELDIVOPP,Reliance MF - R*Shares Dividend Opportunities Fund - RSDOETF
NSE/RELCNX100,Reliance Mutual Fund - R* Shares CNX 100 Fund
NSE/RELIGARE,Religare Enterprises Limited
NSE/RELNIFTY,Reliance Mutual Fund - R* Shares Nifty ETF - Dividend Payout
NSE/RTNINFRA,RattanIndia Infrastructure Limited
NSE/RELIANCE,Reliance Industries Limited
NSE/RELCONS,Reliance MF - R*Shares Consumption Fund - R* SHARES CONSUMPTION FUND
NSE/RENUKA,Shree Renuka Sugars Limited
NSE/REMSONSIND,Remsons Industries Limited
NSE/RICOAUTO,Rico Auto Industries Limited
NSE/RJL,Renaissance Jewellery Limited
NSE/RKFORGE,Ramkrishna Forgings Limited
NSE/RESPONIND,Responsive Industries Limited
NSE/RML,Rane (Madras) Limited
NSE/RELCAPITAL,Reliance Capital Limited
NSE/RKDL,Ravi Kumar Distilleries Limited
NSE/ROLTA,Rolta India Limited
NSE/RIIL,Reliance Industrial Infrastructure Limited
NSE/RMCL,Radha Madhav Corporation Limited
NSE/ROHLTD,Royal Orchid Hotels Limited
NSE/ROSSELLIND,Rossell India Limited
NSE/RSSOFTWARE,R. S. Software (India) Limited
NSE/RPPINFRA,R.P.P. Infra Projects Limited
NSE/RSWM,RSWM Limited
NSE/RPOWER,Reliance Power Limited
NSE/RSYSTEMS,R Systems International Limited
NSE/RUBYMILLS,The Ruby Mills Limited
NSE/RUSHIL,Rushil Decor Limited
NSE/SADBHAV,Sadbhav Engineering Limited
NSE/SAIL,Steel Authority of India Limited
NSE/SAKSOFT,Saksoft Limited
NSE/SADBHIN,Sadbhav Infrastructure Project Limited
NSE/SALORAINTL,Salora International Limited
NSE/SAMBHAAV,Sambhaav Media Limited
NSE/SALSTEEL,S.A.L. Steel Limited
NSE/SABTN,Sri Adhikari Brothers Television Network Limited
NSE/SAGCEM,Sagar Cements Limited
NSE/SETCO,Setco Automotive Limited
NSE/SANOFI,Sanofi India Limited
NSE/SANGHVIMOV,Sanghvi Movers Limited
NSE/RUCHIRA,Ruchira Papers Limited
NSE/SANGHVIFOR,Sanghvi Forging and Engineering Limited
NSE/SANWARIA,Sanwaria Agro Oils Limited
NSE/SBBJ,State Bank of Bikaner and Jaipur
NSE/SAREGAMA,Saregama India Limited
NSE/SATHAISPAT,Sathavahana Ispat Limited
NSE/SBIN,State Bank of India
NSE/SATIN,Satin Creditcare Network Limited
NSE/SCI,Shipping Corporation Of India Limited
NSE/SCHNEIDER,Schneider Electric Infrastructure Limited
NSE/SBT,State Bank of Travancore
NSE/SEAMECLTD,Seamec Limited
NSE/SENSEXIWIN,ICICI Prudential Sensex ETF
NSE/SPICEMOBI,Spice Mobility Limited
NSE/SELMCL,SEL Manufacturing Company Limited
NSE/SERVALL,Servalakshmi Paper Limited
NSE/SEINV,S.E. Investments Limited
NSE/SETFNIFBK,SBI-ETF Nifty Bank
NSE/SHAKTIPUMP,Shakti Pumps (India) Limited
NSE/SHANTIGEAR,Shanthi Gears Limited
NSE/SHARDAMOTR,Sharda Motor Industries Limited
NSE/SHARIABEES,Goldman Sachs S&P CNX Nifty Shariah Index Exchange Traded Scheme
NSE/SHARONBIO,Sharon Bio-Medicine Limited
NSE/SHILPAMED,Shilpa Medicare Limited
NSE/SHEMAROO,Shemaroo Entertainment Limited
NSE/SHK,S H Kelkar and Company Limited
NSE/SHIVTEX,Shiva Texyarn Limited
NSE/SHIVAMAUTO,Shivam Autotech Limited
NSE/SHREERAMA,Shree Rama Multi-Tech Limited
NSE/SHREECEM,Shree Cements Limited
NSE/SHREYANIND,Shreyans Industries Limited
NSE/SHREYAS,Shreyas Shipping & Logistics Limited
NSE/SHOPERSTOP,Shoppers Stop Limited
NSE/SHRIRAMEPC,Shriram EPC Limited
NSE/SIEMENS,Siemens Limited
NSE/SICAL,Sical Logistics Limited
NSE/SIMBHALS,Simbhaoli Sugars Limited
NSE/TECHNO,Techno Electric & Engineering Company Limited
NSE/SICAGEN,Sicagen India Limited
NSE/SITASHREE,Sita Shree Food Products Limited
NSE/SILINV,SIL Investments Limited
NSE/SIMPLEXINF,Simplex Infrastructures Limited
NSE/SIYSIL,Siyaram Silk Mills Limited
NSE/SKFINDIA,SKF India Limited
NSE/SKMEGGPROD,SKM Egg Products Export (India) Limited
NSE/SKIPPER,Skipper Limited
NSE/SMPL,Sujana Metal Products Limited
NSE/SOBHA,Sobha Limited
NSE/SINTEX,Sintex Industries Limited
NSE/SIMPLEX,Simplex Projects Limited
NSE/SOMANYCERA,Somany Ceramics Limited
NSE/SOTL,Savita Oil Technologies Limited
NSE/SOMATEX,Soma Textiles & Industries Limited
NSE/SPARC,Sun Pharma Advanced Research Company Limited
NSE/SPECIALITY,Speciality Restaurants Limited
NSE/SPENTEX,Spentex Industries Limited
NSE/SMLISUZU,SML Isuzu Limited
NSE/SPIC,Southern Petrochemicals Industries Corporation Limited
NSE/SPLIL,SPL Industries Limited
NSE/SWANENERGY,Swan Energy Limited
NSE/SWARAJENG,Swaraj Engines Limited
NSE/SUZLON,Suzlon Energy Limited
NSE/SYNDIBANK,Syndicate Bank
NSE/SYMPHONY,Symphony Limited
NSE/TAINWALCHM,Tainwala Chemical and Plastic (I) Limited
NSE/TALWALKARS,Talwalkars Better Value Fitness Limited
NSE/TATACHEM,Tata Chemicals Limited
NSE/TARAPUR,Tarapur Transformers Limited
NSE/TANTIACONS,Tantia Constructions Limited
NSE/TARAJEWELS,Tara Jewels Limited
NSE/TATACOFFEE,Tata Coffee Limited
NSE/TATAGLOBAL,Tata Global Beverages Limited
NSE/TATAINVEST,Tata Investment Corporation Limited
NSE/TATASPONGE,Tata Sponge Iron Limited
NSE/TCI,Transport Corporation of India Limited
NSE/TBZ,Tribhovandas Bhimji Zaveri Limited
NSE/TATAPOWER,Tata Power Company Limited
NSE/TCS,Tata Consultancy Services Limited
NSE/TCIDEVELOP,TCI Developers Limited
NSE/TCIFINANCE,TCI Finance Limited
NSE/TEAMLEASE,Teamlease Services Limited
NSE/TEXRAIL,Texmaco Rail & Engineering Limited
NSE/TEXINFRA,Texmaco Infrastructure & Holdings Limited
NSE/TEXMOPIPES,Texmo Pipes and Products Limited
NSE/TFL,Transwarranty Finance Limited
NSE/THEMISMED,Themis Medicare Limited
NSE/THIRUSUGAR,Thiru Arooran Sugars Limited
NSE/TIMKEN,Timken India Limited
NSE/TIJARIA,Tijaria Polypipes Limited
NSE/TITAN,Titan Company Limited
NSE/TIL,TIL Limited
NSE/TIMETECHNO,Time Technoplast Limited
NSE/TIPSINDLTD,TIPS Industries Limited
NSE/TINPLATE,The Tinplate Company of India Limited
NSE/TI,Tilaknagar Industries Limited
NSE/TIRUMALCHM,Thirumalai Chemicals Limited
NSE/TNPL,Tamil Nadu Newsprint & Papers Limited
NSE/TNPETRO,Tamilnadu PetroProducts Limited
NSE/TORNTPOWER,Torrent Power Limited
NSE/TRIDENT,Trident Limited
NSE/TRF,TRF Limited
NSE/TRICOM,Tricom India Limited
NSE/TRIVENI,Triveni Engineering & Industries Limited
NSE/TV18BRDCST,TV18 Broadcast Limited
NSE/TTKPRESTIG,TTK Prestige Limited
NSE/TTML,Tata Teleservices (Maharashtra) Limited
NSE/UBL,United Breweries Limited
NSE/TVTODAY,TV Today Network Limited
NSE/TVVISION,TV Vision Limited
NSE/UTINIFTETF,UTI Mutual Fund - UTI-Nifty Exchange Traded Fund
NSE/UFLEX,UFLEX Limited
NSE/UCOBANK,UCO Bank
NSE/UCALFUEL,Ucal Fuel Systems Limited
NSE/UFO,UFO Moviez India Limited
NSE/UBHOLDINGS,United Breweries (Holdings) Limited
NSE/UGARSUGAR,The Ugar Sugar Works Limited
NSE/UNICHEMLAB,Unichem Laboratories Limited
NSE/ULTRACEMCO,UltraTech Cement Limited
NSE/UNITECH,Unitech Limited
NSE/TVSSRICHAK,TVS Srichakra Limited
NSE/TWL,Titagarh Wagons Limited
NSE/UNITY,Unity Infraprojects Limited
NSE/USHAMART,Usha Martin Limited
NSE/UNIVCABLES,Universal Cables Limited
NSE/UPL,UPL Limited
NSE/UTISENSETF,UTI Mutual Fund - UTI-Sensex Exchange Traded Fund
NSE/UTTAMSTL,Uttam Galva Steels Limited
NSE/VALUEIND,Value Industries Limited
NSE/VARDHACRLC,Vardhman Acrylics Limited
NSE/VASWANI,Vaswani Industries Limited
NSE/UJJIVAN,UJJIVAN FINANCIAL SERVICES LIMITED
NSE/VGUARD,V-Guard Industries Limited
NSE/USHERAGRO,Usher Agro Limited
NSE/UNITEDBNK,United Bank of India
NSE/VASCONEQ,Vascon Engineers Limited
NSE/VENKEYS,Venky's (India) Limited
NSE/VIDEOIND,Videocon Industries Limited
NSE/VHL,Vardhman Holdings Limited
NSE/VICEROY,Viceroy Hotels Limited
NSE/VIJAYABANK,Vijaya Bank
NSE/VIJSHAN,Vijay Shanthi Builders Limited
NSE/V2RETAIL,V2 Retail Limited
NSE/VINDHYATEL,Vindhya Telelinks Limited
NSE/VIVIMEDLAB,Vivimed Labs Limited
NSE/VIPULLTD,Vipul Limited
NSE/VISASTEEL,Visa Steel Limited
NSE/VISESHINFO,Visesh Infotecnics Limited
NSE/VSSL,Vardhman Special Steels Limited
NSE/VLSFINANCE,VLS Finance Limited
NSE/VOLTAMP,Voltamp Transformers Limited
NSE/VSTIND,VST Industries Limited
NSE/WEBELSOLAR,Websol Energy System Limited
NSE/WABAG,VA Tech Wabag Limited
NSE/WABCOINDIA,WABCO India Limited
NSE/WEIZMANIND,Weizmann Limited
NSE/WALCHANNAG,Walchandnagar Industries Limited
NSE/WEIZFOREX,Weizmann Forex Limited
NSE/WHIRLPOOL,Whirlpool of India Limited
NSE/WELSPUNIND,Welspun India Limited
NSE/WELCORP,Welspun Corp Limited
NSE/WINDMACHIN,Windsor Machines Limited
NSE/WOCKPHARMA,Wockhardt Limited
NSE/WILLAMAGOR,Williamson Magor & Company Limited
NSE/WINSOME,Winsome Yarns Limited
NSE/XPROINDIA,Xpro India Limited
NSE/WSTCSTPAPR,West Coast Paper Mills Limited
NSE/YESBANK,Yes Bank Limited
NSE/XCHANGING,Xchanging Solutions Limited
NSE/ZEELEARN,Zee Learn Limited
NSE/ZEEL,Zee Entertainment Enterprises Limited
NSE/ZENTEC,Zen Technologies Limited
NSE/ZICOM,Zicom Electronic Security Systems Limited
NSE/ZODJRDMKJ,Zodiac JRD- MKJ Limited
NSE/WHEELS,Wheels India Limited
NSE/ZODIACLOTH,Zodiac Clothing Company Limited
NSE/ZYDUSWELL,Zydus Wellness Limited
NSE/ZYLOG,Zylog Systems Limited
NSE/ANIKINDS,Anik Industries Limited
NSE/ASIL,Amit Spinning Industries Limited
NSE/GANGOTRI,Gangotri Textiles Limited
NSE/CUBEXTUB,Cubex Tubings Limited
NSE/GEINDSYS,GEI Industrial Systems Limited
NSE/XLENERGY,XL Energy Limited
NSE/NET4,Net 4 India Limited
NSE/PARASPETRO,Paras Petrofils Limited
NSE/DPTL,Dhunseri Petrochem & Tea Limited
NSE/ALPA,Alpa Laboratories Limited
NSE/BIRLAERIC,Birla Ericsson Optical Limited
NSE/INDOWIND,Indowind Energy Limited
NSE/ZENITHBIR,Zenith Birla (India) Limited
NSE/SPECTACLE,Spectacle Ventures Limited
NSE/THOMASCOTT,Thomas Scott (India) Limited
NSE/MLL,Mercator Lines Limited
NSE/MMWL,Media Matrix Worldwide Limited
NSE/GULFCORP,Gulf Oil Corporation Limited
NSE/MANJEERA,Manjeera Constructions Limited
NSE/VIPUL,Vipul Limited
NSE/BECREL,Best & Crompton Engg. Limited
NSE/CNXSMALLCAP,National Stock Exchange of India Stock Index - CNX SMALLCAP
NSE/STERLINBIO,Sterling Biotech Limited
NSE/SUJANAUNI,Sujana Universal Industries Limited
NSE/SUPRAJIT,Suprajit Engineering Limited
NSE/PRABHAT,Prabhat Dairy Limited
NSE/SETFNIF50,SBI-ETF Nifty 50
NSE/SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
NSE/SRIPIPES,Srikalahasthi Pipes Limited
NSE/SPMLINFRA,SPML Infra Limited
NSE/SRSLTD,SRS Limited
NSE/SREINFRA,SREI Infrastructure Finance Limited
NSE/STEL,Stel Holdings Limited
NSE/STOREONE,Store One Retail India Limited
NSE/STARPAPER,Star Paper Mills Limited
NSE/SUBEX,Subex Limited
NSE/SUNDARAM,Sundaram Multi Pap Limited
NSE/SUMMITSEC,Summit Securities Limited
NSE/SUNFLAG,Sunflag Iron And Steel Company Limited
NSE/SUPPETRO,Supreme Petrochem Limited
NSE/PALREDTECH,Palred Technologies Limited
NSE/NIFTY_ALPHA_50,National Stock Exchange of India (NSE) Stock Index - Nifty Alpha 50
NSE/NIFTY_BANK,National Stock Exchange of India (NSE) Stock Index - Nifty Bank
NSE/NIFTY_FIN_SERVICE,National Stock Exchange of India (NSE) Stock Index - Nifty Financial Services
NSE/CNX_REALTY,National Stock Exchange of India (NSE) Stock Index - CNX Realty
NSE/NIFTY_COMMODITIES,National Stock Exchange of India (NSE) Stock Index - Nifty Commodities
NSE/CNX_SERVICE,National Stock Exchange of India (NSE) Stock Index - CNX Service Sector
NSE/CNX_ALPHA_INDEX,National Stock Exchange of India (NSE) Stock Index - CNX Alpha
NSE/NEOCURE,Neocure Therapeutics Limited
NSE/SIGNETIND,Signet Industries Limited
NSE/CNXMETAL,National Stock Exchange of India Stock Index - CNX METAL
NSE/NIFTY_IT,National Stock Exchange of India (NSE) Stock Index - Nifty IT
NSE/CNX_500_SHARIAH,National Stock Exchange of India (NSE) Stock Index - CNX 500 Shariah
NSE/SAMBANDAM,Sambandam Spinning Mills Limited
NSE/SAVERA,Savera Industries Limited
NSE/PILANIINV,Pilani Investment and Industries Corporation Limited
NSE/IPRINGLTD,IP Rings Limited
NSE/RAJPALAYAM,Rajapalayam Mills Limited
NSE/DALMIAREF,Dalmia Refractories Limited
NSE/RMMIL,Resurgere Mines & Minerals Limited
NSE/NIFTY_PHARMA,National Stock Exchange of India (NSE) Stock Index - Nifty Pharma
NSE/MUDRA,Mudra Lifestyle Limited
NSE/GULFPETRO,GP Petroleums Limited
NSE/FRETAIL,Future Retail Limited
NSE/CNX_HIGH_BETA,National Stock Exchange of India (NSE) Stock Index - CNX High Beta
NSE/NIFTY50_DIV_POINT,National Stock Exchange of India (NSE) Stock Index - Nifty50 Dividend Points
NSE/ALPINEHOU,Alpine Housing Development Corporation Limited
NSE/NGCT,Northgate Com Tech Limited
NSE/RRSLGETF,RELCAPAMC - RRSLGETF
NSE/ARVINDREM,Arvind Remedies Limited
NSE/GUJSTATFIN,Gujarat State Financial Corporation
NSE/CNX_SHARIAH25,National Stock Exchange of India (NSE) Stock Index - CNX Shariah25
NSE/INGVYSYABK,ING Vysya Bank Limited
NSE/IIFLNIFTY,IIFL Mutual Fund - Nifty ETF
NSE/SKUMARSYNF,S. Kumars Nationwide Limited
NSE/PRITHVI,Prithvi Information Solutions Limited
NSE/SHIV_VANI,Shiv-Vani Oil & Gas Exploration Services Limited
NSE/RELGRNIFTY,Religare Invesco Nifty Exchange Traded Fund
NSE/TULSI,Tulsi Extrusions Limited
NSE/TECPRO,Tecpro Systems Limited
NSE/RANBAXY,Ranbaxy Laboratories Limited
NSE/MGOLD,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares Gold ETF
NSE/VAKRANSOFT,Vakrangee Softwares Limited
NSE/SPANCO,Spanco Limited
NSE/SPCNXNIFTYSHARIAH,National Stock Exchange of India Stock Index - S&P CNX NIFTY SHARIAH
NSE/MUNDRAPORT,Mundra Port and Special Economic Zone Limited
NSE/MBSWITCH,M AND B Switchgears Limited
NSE/FTCPOF5YGR,Franklin Templeton Capital Protection Oriented Fund
NSE/CNXREALTY,National Stock Exchange of India Stock Index - CNX REALTY
NSE/NEHAINT,Neha International Limited
NSE/VAIBHAVGEM,Vaibhav Gems Limited
NSE/THINKSOFT,Thinksoft Global Services Limited
NSE/SPCNX500,National Stock Exchange of India Stock Index - S&P CNX 500
NSE/NIFTYMIDCAP50,National Stock Exchange of India Stock Index - NIFTY MIDCAP 50
NSE/VIKASHMET,Vikash Metal & Power Limited
NSE/MMFSL,Money Matters Financial Services Limited
NSE/BOC,BOC India Limited
NSE/INFOTECENT,Infotech Enterprises Limited
NSE/INDIABULLS,Indiabulls Financial Services Limited
NSE/FKONCO,Fresenius Kabi Oncology Limited
NSE/ASHCONIUL,Ashco Niulab Industries Limited
NSE/COROENGG,Coromandel Engineering Company Limited
NSE/LAKSHMIMIL,The Lakshmi Mills Company Limited
NSE/SPCNX,National Stock Exchange of India Stock Index - S&P CNX 500
NSE/MORARJETEX,Morarjee Textiles Limited
NSE/CNXPSUBANK,National Stock Exchange of India Stock Index - CNX PSU BANK
NSE/NATHSEED,Nath Seeds  Limited
NSE/CNXMIDCAP,National Stock Exchange of India Stock Index - CNX MIDCAP
NSE/BODHTREE,Bodhtree Consulting Limited
NSE/EDSERV,Edserv Softsystems Limited
NSE/CORAL_HUB,Coral Hub Limited
NSE/VISHALRET,Vishal Retail Limited
NSE/SENTINEL,Sentinel Tea and Exports Limited
NSE/ANKURDRUGS,Ankur Drugs And Pharma Limited
NSE/AANJANEYA,Aanjaneya Lifecare Limited
NSE/BHAGWATIHO,Bhagwati Banquets and Hotels Limited
NSE/CNXAUTO,National Stock Exchange of India Stock Index - CNX AUTO
NSE/AMLSTEEL,AML Steel Limited
NSE/RAINCOM,Rain Commodities  Limited
NSE/PONDYOXIDE,Pondy Oxides & Chemicals Limited
NSE/KSE,KSE Limited
NSE/KINETICMOT,Kinetic Motor Company Limited
NSE/FIRSTLEASE,First Leasing Company of India Limited
NSE/KLGSYSTEL,KLG Systel Limited
NSE/SURAJDIAMN,Su-Raj Diamonds and Jewellery Limited
NSE/SESAGOA,Sesa Goa Limited
NSE/BIRLAPOWER,Birla Power Solutions Limited
NSE/JSWISPAT,JSW ISPAT Steel Limited
NSE/NOVOPANIND,Novopan Industries Limited
NSE/SUJANATOW,Sujana Tower Limited
NSE/TELEDATAIT,Teledata Technology Solutions Limited
NSE/CREWBOS,Crew B.O.S. Products Limited
NSE/MADRASCEM,Madras Cements Limited
NSE/CHEMPLAST,Chemplast Sanmar Limited
NSE/CNXDIVIDENDOPPT,National Stock Exchange of India Stock Index - CNX DIVIDEND OPPT
NSE/CNXPSE,National Stock Exchange of India Stock Index - CNX PSE
NSE/NIFTYDIVIDEND,National Stock Exchange of India Stock Index - NIFTY DIVIDEND
NSE/CNX100,National Stock Exchange of India Stock Index - CNX 100
NSE/DCHL,Deccan Chronicle Holdings Limited
NSE/SARTHAKIND,Sarthak Industries Limited
NSE/OSWALMIN,Oswal Minerals Limited
NSE/TANFACIND,Tanfac Industries Limited
NSE/APPAPER,The Andhra Pradesh Paper Mills Limited
NSE/PANTALOONR,Pantaloon Retail (India) Limited
NSE/CNXCONSUMPTION,National Stock Exchange of India Stock Index - CNX CONSUMPTION
NSE/JDORGOCHEM,JD Orgochem Limited
NSE/CNXPHARMA,National Stock Exchange of India Stock Index - CNX PHARMA
NSE/CNXINFRA,National Stock Exchange of India Stock Index - CNX INFRA
NSE/SMOBILITY,S Mobility Limited
NSE/CNXFMCG,National Stock Exchange of India Stock Index - CNX FMCG
NSE/TAKSHEEL,Taksheel Solutions Limited
NSE/CHETTINAD,Chettinad Cement Corporation Limited
NSE/GRABALALK,Grabal Alok Impex Limited
NSE/SHRINATRAJ,Shri Nataraj Ceramic and Chemical Industries Limited
NSE/NUCHEM,Nuchem Limited
NSE/TULIP,Tulip Telecom Limited
NSE/SPCNXDEFTY,National Stock Exchange of India Stock Index - S&P CNX DEFTY
NSE/RANKLIN,Ranklin Solutions Limited
NSE/NRC,NRC Limited
NSE/A2ZMES,A2Z Maintenance & Engineering Services Limited
NSE/APLAB,Aplab Limited
NSE/HYDROSS,Hydro S & S Industries Limited
NSE/CNX200,National Stock Exchange of India Stock Index - CNX 200
NSE/UTISUNDER,Nifty
NSE/SPCNX500SHARIAH,National Stock Exchange of India Stock Index - S&P CNX 500 SHARIAH
NSE/AVANTI,Avanti Feeds Limited
NSE/CNXHIGHBETA,National Stock Exchange of India Stock Index - CNX HIGH BETA
NSE/CASTROL,Castrol India Limited
NSE/VTMLTD,VTM Limited
NSE/MAHINDUGIN,Mahindra Ugine Steel Company Limited
NSE/CNXALPHAINDEX,National Stock Exchange of India Stock Index - CNX ALPHA INDEX
NSE/POLARIND,Polar Industries Limited
NSE/JEYPORE,The Jeypore Sugar Company Limited
NSE/INFODRIVE,Info-Drive Software Limited
NSE/CNXLOWVOLATILITY,National Stock Exchange of India Stock Index - CNX LOW VOLATILITY
NSE/RBN,Reliance Broadcast Network Limited
NSE/NUCENT,Nucent Finance Limited
NSE/PRITHVISOF,Prithvi Softech Limited
NSE/PEACOCKIND,Peacock Industries Limited
NSE/JINDALSWHL,Jindal South West Holdings Limited
NSE/CNXMIDCAP200,National Stock Exchange of India Stock Index - CNX MIDCAP 200
NSE/CNXSERVICE,National Stock Exchange of India Stock Index - CNX SERVICE
NSE/LLOYDSTEEL,Lloyds Steel Industries Limited
NSE/LAKSHMIFIN,The Lakshmi Finance & Industrial Corporation Limited
NSE/CRESTANI,Crest Animation Studios Limited
NSE/CNXNIFTYJUNIOR,National Stock Exchange of India Stock Index - CNX NIFTY JUNIOR
NSE/IBIPL,Indiabulls Infrastructure and Power Limited
NSE/IBPOW,Indiabulls Power Limited
NSE/AQUA,Aqua Logistics Limited
NSE/CNXCOMMODITIES,National Stock Exchange of India Stock Index - CNX COMMODITIES
NSE/CNXMNC,National Stock Exchange of India Stock Index - CNX MNC
NSE/TTKHEALTH,TTK Healthcare Limited
NSE/SURANAVEL,Surana Ventures Limited
NSE/GUJSIDHCEM,Gujarat Sidhee Cements Limited
NSE/SUPER,Super Sales India Limited
NSE/SPCNXSHARIAH,National Stock Exchange of India Stock Index - S&P CNX 500 SHARIAH
NSE/CNXIT,National Stock Exchange of India Stock Index - CNX IT
NSE/SPESGINDIAINDEX,National Stock Exchange of India Stock Index - S&P ESG INDIA INDEX
NSE/CNX,National Stock Exchange of India Stock Index - CNX 200
NSE/CNXBANK,National Stock Exchange of India Stock Index - CNX BANK
NSE/SOUISPAT,Southern Ispat And Energy Limited
NSE/KANDAGIRI,Kandagiri Spinning Mills Limited
NSE/PANASONIC,Panasonic Appliances India Company Limited
NSE/MARG,Marg Limited
NSE/NIFTY_CPSE,National Stock Exchange of India (NSE) Stock Index - Nifty CPSE
NSE/CNX_FMCG,National Stock Exchange of India (NSE) Stock Index - CNX FMCG
NSE/TWILITAKA,Twilight Litaka Pharma Limited
NSE/LOGIXMICRO,Logix Microsystems Limited
NSE/KBIL,Kirloskar Brothers Investments Limited
NSE/NIFTY_METAL,National Stock Exchange of India (NSE) Stock Index - Nifty Metal
NSE/COMPUAGE,Compuage Infocom Limited
NSE/SABERORGAN,Sabero Organics Gujarat Limited
NSE/UVSL,Uttam Value Steels Limited
NSE/KEMROCK,Kemrock Industries and Exports Limited
NSE/WINSOMEDJ,Winsome Diamonds and Jewellery Limited
NSE/DYNATECH,Dynacons Technologies Limited
NSE/FRLDVR,Future Enterprises Limited
NSE/FRL,FUTURE ENTERPRISES LIMITED
NSE/WELENTRP,Welspun Enterprises Limited
NSE/CNX_FINANCE,National Stock Exchange of India (NSE) Stock Index - CNX Finance
NSE/CNX_COMMODITIES,National Stock Exchange of India (NSE) Stock Index - CNX Commodities
NSE/NIFTY_GROWSECT_15,National Stock Exchange of India (NSE) Stock Index - Nifty Growth Sectors 15
NSE/SUDAR,Sudar Industries Limited
NSE/DIGJAM,Digjam Limited
NSE/PIPAVAVDOC,Pipavav Defence and Offshore Engineering Company Limited
NSE/STYABS,Styrolution ABS (India) Limited
NSE/KIL,Kamdhenu Ispat Limited
NSE/MANJUSHREE,Manjushree Technopack Limited
NSE/RAINBOWPAP,Rainbow Papers Limited
NSE/ABGSHIP,ABG Shipyard Limited
NSE/ADANIPORTS,Adani Ports and Special Economic Zone Limited
NSE/ADANIPOWER,Adani Power Limited
NSE/COFFEEDAY,Coffee Day Enterprises Limited
NSE/BBTC,Bombay Burmah Trading Corporation Limited
NSE/GOACARBON,Goa Carbon Limited
NSE/KITEX,Kitex Garments Limited
NSE/SAHPETRO,Sah Petroleums Limited
NSE/NIFTY_100,National Stock Exchange of India (NSE) Stock Index - Nifty 100
NSE/NIFTY_MIDCAP_50,National Stock Exchange of India (NSE) Stock Index - Nifty Midcap 50
NSE/KRISHNAENG,Krishna Engineering Works Limited
NSE/CHESLINTEX,Cheslind Textiles Limited
NSE/GLODYNE,Glodyne Technoserve Limited
NSE/ADVANTA,Advanta Limited
NSE/CNX_IT,National Stock Exchange of India (NSE) Stock Index - CNX IT
NSE/UTTAMVALUE,Uttam Value Steels Limited
NSE/RELIGAREGO,Religare Invesco Gold Exchange Traded Fund
NSE/ORCHIDCHEM,Orchid Chemicals & Pharmaceuticals Limited
NSE/VIKASGLOB,Vikas GlobalOne Limited
NSE/GUJRATGAS,Gujarat Gas Company Limited
NSE/MAKE,Marico Kaya Enterprises Limited
NSE/AMTEKINDIA,Amtek India Limited
NSE/NKIND,NK Industries Limited
NSE/NIRVIKARA,Nirvikara Paper Mills Limited
NSE/CNX_100_EQUAL_WEIGHT,National Stock Exchange of India (NSE) Stock Index - CNX 100 Equal Weight
NSE/ARVINFRA,Arvind Infrastructure Limited
NSE/BEARDSELL,Beardsell Limited
NSE/LSIL,Lloyds Steels Industries Limited
NSE/FIRSTWIN,First Winner Industries Limited
NSE/HEXATRADEX,Hexa Tradex Limited
NSE/TIMBOR,Timbor Home Limited
NSE/CPSE_INDEX,National Stock Exchange of India (NSE) Stock Index - CPSE
NSE/NIFTY_INFRA,National Stock Exchange of India (NSE) Stock Index - Nifty Infra
NSE/NIFTY_CONSUMPTION,National Stock Exchange of India (NSE) Stock Index - Nifty India Consumption
NSE/DAMODARIND,Damodar Industries Limited
NSE/IMPEXFERRO,Impex Ferro Tech Limited
NSE/JAICORPLTD,Jai Corp Limited
NSE/LUMAXTECH,Lumax Auto Technologies Limited
NSE/NIFTYEES,Edelweiss ETF - Nifty 50
NSE/SUNDRMFAST,Sundram Fasteners Limited
NSE/WELENT,Welspun Enterprises Limited
NSE/SETFBANK,SBIAMC - SETFBANK
NSE/ARVIND,Arvind Limited
NSE/NV20IWIN,ICICI Prudential NV20 ETF
NSE/BILPOWER,Bilpower  Limited
NSE/JAINSTUDIO,Jain Studios Limited
NSE/CURATECH,Cura Technologies Limited
NSE/EIMCOELECO,Eimco Elecon (India) Limited
NSE/DSSL,Dynacons Systems & Solutions Limited
NSE/ENTEGRA,Entegra Limited
